epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2055.05,0.52328,0.40935,1.07773,0.92123,0.92587,0.93847,0.67832,1.08615,0.67791,1.36462,0.00106605,0.00106605,0.00106605
43,2103.46,0.52356,0.39839,1.07259,0.93441,0.95827,0.95833,0.69493,1.04709,0.66633,1.31281,0.00104079,0.00104079,0.00104079
44,2152.24,0.53583,0.4137,1.07573,0.90539,0.94529,0.92742,0.68718,1.02797,0.60384,1.27049,0.00101533,0.00101533,0.00101533
45,2200.75,0.49373,0.38394,1.04831,0.9267,0.95178,0.95795,0.71148,1.04127,0.64742,1.28753,0.000989689,0.000989689,0.000989689
46,2249.42,0.47983,0.38207,1.05115,0.93134,0.92483,0.94988,0.71582,1.01773,0.64583,1.25773,0.000963895,0.000963895,0.000963895
47,2298.04,0.53351,0.43047,1.07554,0.93514,0.94853,0.96193,0.72486,1.00657,0.6437,1.25056,0.000937973,0.000937973,0.000937973
48,2346.62,0.52259,0.38673,1.05548,0.97587,0.94153,0.96315,0.70985,1.06018,0.58378,1.33187,0.000911947,0.000911947,0.000911947
49,2395.5,0.49783,0.38324,1.04245,0.91562,0.95178,0.95689,0.7096,1.003,0.62118,1.25495,0.000885844,0.000885844,0.000885844
50,2443.97,0.48279,0.37452,1.04079,0.91358,0.95178,0.94349,0.71625,0.99932,0.61544,1.22887,0.000859689,0.000859689,0.000859689
51,2492.78,0.48744,0.38974,1.03434,0.90459,0.95178,0.95119,0.73114,1.0196,0.59049,1.25239,0.000833508,0.000833508,0.000833508
52,2541.26,0.50006,0.37509,1.03234,0.93615,0.95827,0.95475,0.71875,0.98972,0.61003,1.22959,0.000807328,0.000807328,0.000807328
53,2589.97,0.50175,0.37672,1.03383,0.92775,0.94805,0.96714,0.73373,0.9603,0.57239,1.19591,0.000781173,0.000781173,0.000781173
54,2638.79,0.46907,0.35286,1.01393,0.93358,0.94025,0.96727,0.73833,0.95553,0.58137,1.20006,0.00075507,0.00075507,0.00075507
55,2687.7,0.46308,0.37139,1.0187,0.94362,0.94529,0.95686,0.71323,0.98251,0.56485,1.21273,0.000729044,0.000729044,0.000729044
56,2736.4,0.49522,0.37391,1.0312,0.95054,0.94436,0.96755,0.73369,0.97434,0.61428,1.22856,0.000703122,0.000703122,0.000703122
57,2806.8,0.48664,0.35327,1.02812,0.94564,0.95178,0.95325,0.74111,0.9544,0.58335,1.19088,0.000677328,0.000677328,0.000677328
58,2885.89,0.46691,0.34451,1.04119,0.92104,0.93392,0.9491,0.72538,0.96452,0.64373,1.1721,0.000651688,0.000651688,0.000651688
59,2950.97,0.47895,0.3645,1.00223,0.91153,0.94536,0.94186,0.72019,0.95199,0.63348,1.17934,0.000626227,0.000626227,0.000626227
60,3044.94,0.48569,0.3567,1.02917,0.9291,0.95178,0.95263,0.73083,0.96869,0.59324,1.18249,0.000600972,0.000600972,0.000600972
61,3097.3,0.48313,0.34972,1.03677,0.93419,0.94529,0.9611,0.73424,0.95599,0.62524,1.1978,0.000575945,0.000575945,0.000575945
62,3179.73,0.45371,0.34245,1.0012,0.9258,0.95178,0.96011,0.73504,0.94804,0.63992,1.1621,0.000551173,0.000551173,0.000551173
63,3272.01,0.46425,0.33838,1.01562,0.91019,0.95178,0.93476,0.72354,0.92683,0.61123,1.13706,0.00052668,0.00052668,0.00052668
64,3360.99,0.46921,0.34912,1.00116,0.93083,0.95178,0.94675,0.72329,0.95006,0.6521,1.18939,0.000502489,0.000502489,0.000502489
65,3454.64,0.44503,0.33274,1.00112,0.94225,0.94204,0.95403,0.7263,0.95206,0.62302,1.18282,0.000478625,0.000478625,0.000478625
66,3530.86,0.46681,0.3404,1.00845,0.93026,0.9323,0.94821,0.73307,0.92192,0.63114,1.15249,0.000455111,0.000455111,0.000455111
67,3581.45,0.45405,0.33259,1.00803,0.89905,0.94853,0.94195,0.72745,0.93148,0.66859,1.14336,0.000431971,0.000431971,0.000431971
68,3632.17,0.44111,0.34749,0.98822,0.91465,0.95027,0.95037,0.72265,0.94256,0.6993,1.16883,0.000409227,0.000409227,0.000409227
69,3682.15,0.46564,0.33575,1.00109,0.90855,0.95105,0.94953,0.73547,0.93809,0.63849,1.14793,0.000386901,0.000386901,0.000386901
70,3732.13,0.43757,0.31504,0.98664,0.90658,0.95178,0.94569,0.72111,0.93721,0.65714,1.14436,0.000365017,0.000365017,0.000365017
71,3782.31,0.44844,0.32836,1.0044,0.9122,0.95178,0.94276,0.72415,0.92985,0.68863,1.13572,0.000343594,0.000343594,0.000343594
72,3831.86,0.45459,0.33664,1.00089,0.91622,0.94853,0.94952,0.74208,0.91426,0.63504,1.10818,0.000322655,0.000322655,0.000322655
73,3880.86,0.4393,0.32597,0.98189,0.91601,0.95107,0.94051,0.73182,0.91757,0.63796,1.11006,0.000302221,0.000302221,0.000302221
74,3929.94,0.43833,0.33294,1.00526,0.93836,0.92581,0.94136,0.73137,0.91187,0.69791,1.11396,0.00028231,0.00028231,0.00028231
75,3978.72,0.44694,0.31863,1.01123,0.94873,0.92905,0.95346,0.74002,0.91986,0.65409,1.11497,0.000262944,0.000262944,0.000262944
76,4027.41,0.44032,0.32451,0.9974,0.91639,0.95178,0.95867,0.73609,0.92917,0.71787,1.12588,0.000244141,0.000244141,0.000244141
77,4075.94,0.44396,0.31444,0.99474,0.93845,0.93171,0.95921,0.74483,0.92797,0.71495,1.12447,0.000225919,0.000225919,0.000225919
78,4124.78,0.42743,0.31819,0.99082,0.9401,0.9309,0.96435,0.7468,0.90912,0.6555,1.10114,0.000208297,0.000208297,0.000208297
79,4173.55,0.42394,0.31172,0.99166,0.93887,0.95178,0.95023,0.7414,0.91669,0.71559,1.10846,0.000191292,0.000191292,0.000191292
80,4222.72,0.41514,0.30871,0.98133,0.9263,0.95178,0.94867,0.74318,0.91122,0.71054,1.10161,0.000174921,0.000174921,0.000174921
